Date,Power_Usage
2022-11-16,2306
2022-11-17,2126
2022-11-18,2281
2022-11-19,2159
2022-11-20,2155
2022-11-21,2048
2022-11-22,1897
2022-11-23,2211
2022-11-24,2275
2022-11-25,2276
2022-11-26,2281
2022-11-27,2263
2022-11-28,2071
2022-11-29,1839
2022-11-30,2353
2022-12-01,2298
2022-12-02,2266
2022-12-03,2411
2022-12-04,2299
2022-12-05,2214
2022-12-06,2031
2022-12-07,2241
2022-12-08,2340
2022-12-09,2282
2022-12-10,2302
2022-12-11,2362
2022-12-12,2160
2022-12-13,1882
2022-12-14,2554
2022-12-15,2339
2022-12-16,2508
2022-12-17,2520
2022-12-18,2463
2022-12-19,1903
2022-12-20,2040
2022-12-21,2428
2022-12-22,2494
2022-12-23,2316
2022-12-24,2451
2022-12-25,2380
2022-12-26,2150
2022-12-27,2245
2022-12-28,2390
2022-12-29,2353
2022-12-30,2361
2022-12-31,2527
2023-01-01,1735
2023-01-02,1500
2023-01-03,2206
2023-01-04,2429
2023-01-05,2668
2023-01-06,2547
2023-01-07,2530
2023-01-08,2370
2023-01-09,2454
2023-01-10,2285
2023-01-11,2507
2023-01-12,2614
2023-01-13,2429
2023-01-14,2759
2023-01-15,2644
2023-01-16,2239
2023-01-17,2350
2023-01-18,2702
2023-01-19,2802
2023-01-20,2687
2023-01-21,2518
2023-01-22,2508
2023-01-23,2369
2023-01-24,2385
2023-01-25,2775
2023-01-26,2621
2023-01-27,2601
2023-01-28,2701
2023-01-29,2814
2023-01-30,2502
2023-01-31,2591
2023-02-01,2643
2023-02-02,2841
2023-02-03,2553
2023-02-04,2678
2023-02-05,2674
2023-02-06,2417
2023-02-07,2469
2023-02-08,2799
2023-02-09,2636
2023-02-10,2814
2023-02-11,2675
2023-02-12,2818
2023-02-13,2435
2023-02-14,2400
2023-02-15,2735
2023-02-16,2714
2023-02-17,2744
2023-02-18,2847
2023-02-19,2720
2023-02-20,2461
2023-02-21,2422
2023-02-22,2767
2023-02-23,2915
2023-02-24,2860
2023-02-25,2878
2023-02-26,2763
2023-02-27,2555
2023-02-28,2578
2023-03-01,3006
2023-03-02,2872
2023-03-03,2680
2023-03-04,2844
2023-03-05,3000
